UDI,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF,Mechanical_Power,Temp_Diff,Tool_Stress
885,Product_6,L,295.8,306.4,1356,48,99,0,0,0,0,0,0,65088,10.6,4752
7436,Product_8,L,299.9,311.3,1504,40.7,20,0,0,0,0,0,0,61212.8,11.4,814
2048,Product_4,L,299.3,309.2,1775,24.2,125,0,0,0,0,0,0,42955,9.9,3025
5210,Product_3,M,303.8,312.7,1507,38.5,180,0,0,0,0,0,0,58019.5,8.9,6930
1733,Product_2,H,298.4,307.9,1700,28.2,120,0,0,0,0,0,0,47940,9.5,3384
2447,Product_1,L,299.3,308.6,1422,48.9,83,0,0,0,0,0,0,69535.8,9.3,4058.7
1040,Product_8,L,296.7,307.7,1524,36.8,82,0,0,0,0,0,0,56083.2,11,3017.6
3439,Product_3,L,301.4,310.4,1471,37.5,193,0,0,0,0,0,0,55162.5,9,7237.5
8827,Product_6,M,297.2,308.8,1485,47.9,143,0,0,0,0,0,0,71131.5,11.6,6849.7
3105,Product_2,M,299.8,309.2,1678,29.8,202,0,0,0,0,0,0,50004.4,9.4,6019.6
4668,Product_10,H,303.3,311.4,1651,30.6,50,0,0,0,0,0,0,50520.6,8.1,1530
7294,Product_10,L,300.1,310.5,1627,29.2,95,0,0,0,0,0,0,47508.4,10.4,2774
6895,Product_5,L,301.1,311.7,1408,46.3,135,0,0,0,0,0,0,65190.4,10.6,6250.5
5597,Product_10,M,302.7,312,1538,36.7,74,0,0,0,0,0,0,56444.6,9.3,2715.8
4496,Product_1,L,302.6,310.4,1359,57.2,67,1,0,1,0,0,0,77734.8,7.8,3832.4
8379,Product_1,M,298.8,309.9,1331,61.6,46,0,0,0,0,0,0,81989.6,11.1,2833.6
2120,Product_4,M,299.3,308.9,1858,24.7,101,0,0,0,0,0,0,45892.6,9.6,2494.7
8583,Product_6,M,297.5,308.1,1334,72,151,1,0,0,1,0,0,96048,10.6,10872
9277,Product_4,L,298.1,308.7,1691,30.3,49,0,0,0,0,0,0,51237.3,10.6,1484.7
5404,Product_7,L,302.7,312.3,1858,25.4,2,0,0,0,0,0,0,47193.2,9.6,50.8
1562,Product_6,L,298.2,308.4,1388,53.8,137,0,0,0,0,0,0,74674.4,10.2,7370.6
554,Product_2,M,297.4,309.3,1564,36,126,0,0,0,0,0,0,56304,11.9,4536
7010,Product_10,L,300.5,310.5,1536,36.2,12,0,0,0,0,0,0,55603.2,10,434.4
1684,Product_8,M,297.9,307.4,1403,52.8,0,0,0,0,0,0,0,74078.4,9.5,0
9809,Product_6,M,298.2,309,1441,44.2,147,0,0,0,0,0,0,63692.2,10.8,6497.4
406,Product_6,L,297.3,308.5,1350,57.6,186,0,0,0,0,0,0,77760,11.2,10713.6
1726,Product_6,M,298.3,307.8,1392,50.4,101,0,0,0,0,0,0,70156.8,9.5,5090.4
5183,Product_10,L,303.9,313.1,1586,31.9,108,0,0,0,0,0,0,50593.4,9.2,3445.2
7968,Product_10,M,301,312.2,1629,32.6,69,0,0,0,0,0,0,53105.4,11.2,2249.4
8743,Product_2,L,297.4,308.8,1467,39,128,0,0,0,0,0,0,57213,11.4,4992
6370,Product_4,H,300,309.5,1781,24.9,70,0,0,0,0,0,0,44346.9,9.5,1743
9147,Product_2,L,297.6,308.6,1528,40,123,0,0,0,0,0,0,61120,11,4920
3660,Product_7,M,302.2,311.5,1734,25,116,0,0,0,0,0,0,43350,9.3,2900
6591,Product_10,L,301.7,310.7,1763,25.9,3,0,0,0,0,0,0,45661.7,9,77.7
1428,Product_8,L,298.7,309.8,1394,40.3,11,0,0,0,0,0,0,56178.2,11.1,443.3
5437,Product_10,M,302.9,312.5,1679,30.9,79,0,0,0,0,0,0,51881.1,9.6,2441.1
2485,Product_2,H,298.8,308.6,1524,37.7,170,0,0,0,0,0,0,57454.8,9.8,6409
216,Product_2,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,62384.4,10.3,5642
9665,Product_6,L,299.1,310.2,1317,54.8,231,1,0,0,0,1,0,72171.6,11.1,12658.8
4633,Product_9,M,302.9,311.2,1330,53.7,200,1,0,1,0,0,0,71421,8.3,10740
867,Product_4,L,295.9,306.6,1678,26.7,53,0,0,0,0,0,0,44802.6,10.7,1415.1
6284,Product_10,L,301.3,310.8,1719,29.5,62,0,0,0,0,0,0,50710.5,9.5,1829
7018,Product_10,M,300.7,310.6,1474,37,33,0,0,0,0,0,0,54538,9.9,1221
1232,Product_2,M,297.2,308.5,1604,40.7,158,0,0,0,0,0,0,65282.8,11.3,6430.6
1291,Product_5,L,298.6,309.7,1429,45.8,113,0,0,0,0,0,0,65448.2,11.1,5175.4
6743,Product_3,H,301.7,311.2,1639,30,161,0,0,0,0,0,0,49170,9.5,4830
1850,Product_8,L,297.7,307.2,1668,32.7,31,0,0,0,0,0,0,54543.6,9.5,1013.7
1020,Product_8,L,296.3,307.3,1398,52.7,31,0,0,0,0,0,0,73674.6,11,1633.7
3965,Product_10,M,302.3,311.6,1668,33.2,52,0,0,0,0,0,0,55377.6,9.3,1726.4
352,Product_8,M,297.6,308.4,1611,31,48,0,0,0,0,0,0,49941,10.8,1488
5040,Product_3,H,304.1,313.3,1689,32.5,134,0,0,0,0,0,0,54892.5,9.2,4355
7056,Product_3,L,300.8,310.6,1663,30.6,139,0,0,0,0,0,0,50887.8,9.8,4253.4
8108,Product_5,H,300.3,311.9,1390,49,194,0,0,0,0,0,0,68110,11.6,9506
4618,Product_7,M,303.1,311.4,1831,23.3,161,0,0,0,0,0,0,42662.3,8.3,3751.3
586,Product_4,L,297.6,309.5,2001,20.5,220,0,0,0,0,0,0,41020.5,11.9,4510
6300,Product_1,L,301.2,310.6,1385,49.2,105,0,0,0,0,0,0,68142,9.4,5166
2138,Product_2,L,299.3,308.9,1623,31.1,152,0,0,0,0,0,0,50475.3,9.6,4727.2
9318,Product_2,L,298.5,309.5,1480,38.1,160,0,0,0,0,0,0,56388,11,6096
9925,Product_1,M,298.5,308.6,1384,54.4,44,0,0,0,0,0,0,75289.6,10.1,2393.6
81,Product_8,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,72105.5,10,199.6
556,Product_5,M,297.4,309.4,1539,42.2,134,0,0,0,0,0,0,64945.8,12,5654.8
3475,Product_10,M,301.9,310.8,1557,35.3,65,0,0,0,0,0,0,54962.1,8.9,2294.5
5822,Product_9,L,301.3,311.1,1303,49.2,212,0,0,0,0,0,0,64107.6,9.8,10430.4
6221,Product_1,L,301.1,310.8,1470,49.3,116,0,0,0,0,0,0,72471,9.7,5718.8
3027,Product_7,M,300.4,309.5,1888,21.9,221,0,0,0,0,0,0,41347.2,9.1,4839.9
7974,Product_10,L,301.1,312.3,1682,29.7,83,0,0,0,0,0,0,49955.4,11.2,2465.1
3917,Product_3,L,302.6,311.6,1453,37,135,0,0,0,0,0,0,53761,9,4995
222,Product_4,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,44396.1,10.1,3717.9
8705,Product_8,L,297.1,308.5,1425,40,35,0,0,0,0,0,0,57000,11.4,1400
4112,Product_3,M,302,310.6,1563,41,184,0,0,0,0,0,0,64083,8.6,7544
4232,Product_1,L,302.2,310.8,1340,47.8,54,0,0,0,0,0,0,64052,8.6,2581.2
7885,Product_1,L,300.8,312.4,1465,59.1,91,1,0,0,1,0,0,86581.5,11.6,5378.1
872,Product_8,L,295.8,306.4,1339,53.2,67,0,0,0,0,0,0,71234.8,10.6,3564.4
6751,Product_9,M,301.7,311,1505,44,187,0,0,0,0,0,0,66220,9.3,8228
5954,Product_5,M,300.7,310.9,1486,38.9,106,0,0,0,0,0,0,57805.4,10.2,4123.4
4382,Product_9,L,301.9,309.6,1446,43.2,225,0,0,0,0,0,0,62467.2,7.7,9720
3641,Product_10,H,302.4,311.6,1544,39.1,70,0,0,0,0,0,0,60370.4,9.2,2737
9838,Product_8,M,298.4,309.3,1355,50.6,8,0,0,0,0,0,0,68563,10.9,404.8
7622,Product_5,L,300.5,311.5,1490,38.4,67,0,0,0,0,0,0,57216,11,2572.8
3978,Product_10,M,302.2,311.3,1510,36.6,91,0,0,0,0,0,0,55266,9.1,3330.6
5497,Product_7,M,302.9,312.5,1924,24,17,0,0,0,0,0,0,46176,9.6,408
2791,Product_1,L,300.4,309.6,1356,45.9,64,0,0,0,0,0,0,62240.4,9.2,2937.6
3133,Product_10,L,300.1,309.5,1557,40.6,59,0,0,0,0,0,0,63214.2,9.4,2395.4
2262,Product_8,M,299.1,308.2,1435,45.2,45,0,0,0,0,0,0,64862,9.1,2034
1427,Product_8,M,298.7,309.7,1622,34.6,8,0,0,0,0,0,0,56121.2,11,276.8
1734,Product_2,L,298.4,308,1515,42.8,125,0,0,0,0,0,0,64842,9.6,5350
3081,Product_3,M,299.9,309.2,1539,43.2,132,0,0,0,0,0,0,66484.8,9.3,5702.4
6539,Product_1,L,301.4,310.7,1487,44.6,88,0,0,0,0,0,0,66320.2,9.3,3924.8
8024,Product_5,H,300.9,312,1397,42.7,212,0,0,0,0,0,0,59651.9,11.1,9052.4
7226,Product_4,M,299.8,309.7,1910,21.8,141,0,0,0,0,0,0,41638,9.9,3073.8
3837,Product_3,L,302.4,311.2,1466,43.9,152,0,0,0,0,0,0,64357.4,8.8,6672.8
5449,Product_3,L,303,312.7,1551,41.8,111,0,0,0,0,0,0,64831.8,9.7,4639.8
6435,Product_10,M,300.3,309.9,1494,38.5,33,0,0,0,0,0,0,57519,9.6,1270.5
197,Product_6,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,70884,10.3,4504.5
562,Product_2,M,297.5,309.4,1678,34.4,148,0,0,0,0,0,0,57723.2,11.9,5091.2
9175,Product_4,L,297.8,308.9,1871,25.6,200,1,1,0,0,0,0,47897.6,11.1,5120
4567,Product_1,L,302.8,310.8,1402,50.5,30,0,0,0,0,0,0,70801,8,1515
9026,Product_8,L,297.5,308.4,1440,35.9,13,0,0,0,0,0,0,51696,10.9,466.7
987,Product_2,H,296.4,307.1,1638,32.5,146,0,0,0,0,0,0,53235,10.7,4745
9745,Product_5,L,298.8,310.1,1574,36.2,181,0,0,0,0,0,0,56978.8,11.3,6552.2
7875,Product_5,L,300.7,312.3,1548,37.9,58,0,0,0,0,0,0,58669.2,11.6,2198.2
3807,Product_1,M,302.3,310.9,1360,44,67,1,0,1,0,0,0,59840,8.6,2948
6708,Product_10,L,301.3,310.6,1556,39,72,0,0,0,0,0,0,60684,9.3,2808
9802,Product_6,M,298.4,309.3,1496,45.6,129,0,0,0,0,0,0,68217.6,10.9,5882.4
1849,Product_8,H,297.7,307.2,1429,44.1,26,0,0,0,0,0,0,63018.9,9.5,1146.6
1917,Product_6,L,298,307.7,1387,50.8,204,0,0,0,0,0,0,70459.6,9.7,10363.2
4967,Product_7,L,303.8,312.6,1793,28.1,170,0,0,0,0,0,0,50383.3,8.8,4777
3679,Product_3,L,302.2,311.5,1567,33.1,168,0,0,0,0,0,0,51867.7,9.3,5560.8
8359,Product_8,L,298.7,309.7,1547,37.4,0,0,0,0,0,0,0,57857.8,11,0
8752,Product_2,M,297.4,308.5,1472,42,150,0,0,0,0,0,0,61824,11.1,6300
7385,Product_5,L,299.7,310.4,1614,36.2,108,0,0,0,0,0,0,58426.8,10.7,3909.6
7253,Product_9,H,300.2,310.4,1501,42.9,212,0,0,0,0,0,0,64392.9,10.2,9094.8
3418,Product_3,L,301.6,310.6,1621,33.7,137,0,0,0,0,0,0,54627.7,9,4616.9
1430,Product_8,M,298.9,310,1456,43.8,15,0,0,0,0,0,0,63772.8,11.1,657
6439,Product_10,L,300.4,310,1581,30.3,42,0,0,0,0,0,0,47904.3,9.6,1272.6
7399,Product_5,M,299.7,310.7,1498,37.8,146,0,0,0,0,0,0,56624.4,11,5518.8
2748,Product_2,L,299.7,309.2,1616,31.6,175,0,0,0,0,0,0,51065.6,9.5,5530
1665,Product_2,L,298.2,308,1535,38,179,0,0,0,0,0,0,58330,9.8,6802
2672,Product_6,M,299.7,309.3,1399,41.9,221,1,1,0,0,0,0,58618.1,9.6,9259.9
7685,Product_5,M,300.7,311.8,1407,42.4,224,0,0,0,0,0,0,59656.8,11.1,9497.6
4340,Product_1,L,301.7,309.9,1524,46.6,104,0,0,0,0,0,0,71018.4,8.2,4846.4
7606,Product_4,H,300.4,311.3,2026,20.3,26,0,0,0,0,0,0,41127.8,10.9,527.8
2325,Product_2,L,299.3,308.8,1636,29.9,201,0,0,0,0,0,0,48916.4,9.5,6009.9
8992,Product_2,M,297.3,308,1598,29.4,148,0,0,0,0,0,0,46981.2,10.7,4351.2
8465,Product_4,H,298.6,309.7,1672,27.5,54,0,0,0,0,0,0,45980,11.1,1485
8489,Product_5,L,298.4,309.4,1385,43.2,119,0,0,0,0,0,0,59832,11,5140.8
2701,Product_8,L,299.9,309.3,1473,40.4,59,0,0,0,0,0,0,59509.2,9.4,2383.6
6496,Product_3,M,300.6,309.8,1694,31.1,187,0,0,0,0,0,0,52683.4,9.2,5815.7
6277,Product_1,L,301.2,310.8,1233,64.6,45,0,0,0,0,0,0,79651.8,9.6,2907
3118,Product_1,M,300.1,309.3,1469,43.9,20,0,0,0,0,0,0,64489.1,9.2,878
2548,Product_2,L,299.2,309.1,1578,38.1,109,0,0,0,0,0,0,60121.8,9.9,4152.9
2708,Product_8,M,299.6,309,1539,36.1,76,0,0,0,0,0,0,55557.9,9.4,2743.6
6433,Product_1,M,300.3,309.9,1447,46.5,28,0,0,0,0,0,0,67285.5,9.6,1302
2445,Product_1,L,299.2,308.6,1267,68.2,76,1,0,0,1,0,0,86409.4,9.4,5183.2
3913,Product_3,L,302.4,311.4,1475,40.4,126,0,0,0,0,0,0,59590,9,5090.4
7987,Product_5,L,301.1,312.3,1587,34.5,115,0,0,0,0,0,0,54751.5,11.2,3967.5
8745,Product_4,M,297.4,308.7,1798,23,135,0,0,0,0,0,0,41354,11.3,3105
1714,Product_8,L,298.2,307.8,1515,46.7,74,0,0,0,0,0,0,70750.5,9.6,3455.8
3911,Product_7,L,302.4,311.4,1831,26.9,121,0,0,0,0,0,0,49253.9,9,3254.9
2023,Product_8,L,298.7,308.4,1373,46.9,60,0,0,0,0,0,0,64393.7,9.7,2814
531,Product_8,M,297.6,309.5,1709,32.2,65,0,0,0,0,0,0,55029.8,11.9,2093
598,Product_8,H,297.6,309.6,1428,46.6,13,0,0,0,0,0,0,66544.8,12,605.8
12,Product_8,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,63038.9,10.5,1284.7
4888,Product_3,L,303.7,312.5,1481,33.3,182,0,0,0,0,0,0,49317.3,8.8,6060.6
1304,Product_5,L,298.7,309.9,1593,42.5,146,0,0,0,0,0,0,67702.5,11.2,6205
5968,Product_9,L,300.4,310.8,1390,52.5,144,0,0,0,0,0,0,72975,10.4,7560
9373,Product_8,L,297.7,308.4,1487,41.4,84,0,0,0,0,0,0,61561.8,10.7,3477.6
7683,Product_9,M,300.7,311.7,1412,49.1,219,0,0,0,0,0,0,69329.2,11,10752.9
6803,Product_10,M,301.1,310.7,1621,31,108,0,0,0,0,0,0,50251,9.6,3348
2421,Product_8,H,298.8,308.2,1450,44.7,14,0,0,0,0,0,0,64815,9.4,625.8
8601,Product_2,L,297.5,308.3,1435,40.3,197,0,0,0,0,0,0,57830.5,10.8,7939.1
1450,Product_4,H,299,310.4,1677,30.8,73,0,0,0,0,0,0,51651.6,11.4,2248.4
2743,Product_6,L,299.6,309.1,1369,51.4,164,0,0,0,0,0,0,70366.6,9.5,8429.6
7101,Product_10,L,300.7,310.2,1569,32.8,31,0,0,0,0,0,0,51463.2,9.5,1016.8
6946,Product_4,M,300.8,311.4,1852,22.2,53,0,0,0,0,0,0,41114.4,10.6,1176.6
2051,Product_2,M,299.5,309.3,1675,29.2,132,0,0,0,0,0,0,48910,9.8,3854.4
7562,Product_5,L,300.3,311.1,1388,49.4,128,0,0,0,0,0,0,68567.2,10.8,6323.2
6934,Product_10,L,300.8,311.4,1492,40.6,20,0,0,0,0,0,0,60575.2,10.6,812
8963,Product_2,L,297.3,307.9,1628,30.2,80,0,0,0,0,0,0,49165.6,10.6,2416
3764,Product_9,L,302.3,311,1428,47.9,174,0,0,0,0,0,0,68401.2,8.7,8334.6
2705,Product_10,M,299.7,309.2,1608,34.4,68,0,0,0,0,0,0,55315.2,9.5,2339.2
4700,Product_9,L,303.5,311.6,1428,46.2,139,0,0,0,0,0,0,65973.6,8.1,6421.8
2031,Product_1,L,298.9,308.6,1400,49.5,79,0,0,0,0,0,0,69300,9.7,3910.5
8604,Product_6,H,297.3,308,1384,49.1,206,0,0,0,0,0,0,67954.4,10.7,10114.6
8483,Product_5,L,298.4,309.5,1520,38.1,106,0,0,0,0,0,0,57912,11.1,4038.6
5423,Product_1,M,302.7,312.4,1422,44.5,49,0,0,0,0,0,0,63279,9.7,2180.5
8277,Product_6,L,298.8,310.5,1384,52.8,200,0,0,0,0,0,0,73075.2,11.7,10560
648,Product_2,L,297.7,309.3,1559,36.9,145,0,0,0,0,0,0,57527.1,11.6,5350.5
843,Product_2,M,296.6,307.5,1566,35,201,0,0,0,0,0,0,54810,10.9,7035
7298,Product_5,L,300.1,310.5,1500,39.8,107,0,0,0,0,0,0,59700,10.4,4258.6
6398,Product_2,M,300,309.6,1587,32.6,152,0,0,0,0,0,0,51736.2,9.6,4955.2
6502,Product_3,M,300.9,310,1600,36,204,0,0,0,0,0,0,57600,9.1,7344
9504,Product_8,M,299.2,310.3,1551,44.8,18,0,0,0,0,0,0,69484.8,11.1,806.4
4127,Product_10,M,302,310.6,1623,34.3,9,0,0,0,0,0,0,55668.9,8.6,308.7
5591,Product_1,M,302.5,311.9,1340,59.4,60,0,0,0,0,0,0,79596,9.4,3564
5172,Product_1,M,304.2,313.4,1329,54.5,75,0,0,0,0,0,0,72430.5,9.2,4087.5
8832,Product_2,H,297.4,308.7,1726,26.8,158,0,0,0,0,0,0,46256.8,11.3,4234.4
6091,Product_10,L,300.9,310.8,1708,29.1,14,0,0,0,0,0,0,49702.8,9.9,407.4
8839,Product_6,L,297.5,309,1320,54.7,179,0,0,0,0,0,0,72204,11.5,9791.3
9744,Product_5,L,298.9,310.2,1562,42.5,179,0,0,0,0,0,0,66385,11.3,7607.5
8678,Product_2,M,297.3,308.5,1664,28.9,174,0,0,0,0,0,0,48089.6,11.2,5028.6
5069,Product_10,M,304.3,313.3,1540,39,14,0,0,0,0,0,0,60060,9,546
3410,Product_7,M,301.2,310.4,1697,30,120,0,0,0,0,0,0,50910,9.2,3600
6252,Product_3,M,300.8,310.2,1598,36.5,195,0,0,0,0,0,0,58327,9.4,7117.5
6153,Product_3,M,301.1,311.1,1592,35.7,174,0,0,0,0,0,0,56834.4,10,6211.8
6730,Product_3,H,301.5,310.9,1524,40.4,124,0,0,0,0,0,0,61569.6,9.4,5009.6
198,Product_8,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,62454.3,10.2,3926.4
1041,Product_8,L,296.7,307.7,1502,43.9,84,0,0,0,0,0,0,65937.8,11,3687.6
9686,Product_8,L,299,310,1360,48.1,37,0,0,0,0,0,0,65416,11,1779.7
3874,Product_10,L,302.6,311.8,1638,35.1,17,0,0,0,0,0,0,57493.8,9.2,596.7
5425,Product_1,L,302.6,312.2,1377,45.5,54,0,0,0,0,0,0,62653.5,9.6,2457
5564,Product_3,M,302.3,311.7,1640,31.5,199,0,0,0,0,0,0,51660,9.4,6268.5
3821,Product_3,L,302.3,310.8,1421,41.4,102,0,0,0,0,0,0,58829.4,8.5,4222.8
4224,Product_10,L,302,310.7,1657,31.9,37,0,0,0,0,0,0,52858.3,8.7,1180.3
6987,Product_5,L,300.7,311.1,1688,30.7,161,0,0,0,0,0,0,51821.6,10.4,4942.7
8251,Product_5,M,299,310.4,1394,45.2,122,0,0,0,0,0,0,63008.8,11.4,5514.4
927,Product_6,L,295.6,306.1,1372,55.6,215,1,0,0,0,1,0,76283.2,10.5,11954
3802,Product_7,M,302.2,310.9,1771,27.6,54,0,0,0,0,0,0,48879.6,8.7,1490.4
3044,Product_10,L,300.3,309.5,1551,37.9,42,0,0,0,0,0,0,58782.9,9.2,1591.8
8430,Product_5,L,299,310.3,1577,40,181,0,0,0,0,0,0,63080,11.3,7240
9386,Product_4,M,297.5,308.1,1907,23.5,125,0,0,0,0,0,0,44814.5,10.6,2937.5
5366,Product_3,L,303.1,312.6,1548,36.4,150,0,0,0,0,0,0,56347.2,9.5,5460
4462,Product_3,L,302.7,310.5,1642,30.8,195,0,0,0,0,0,0,50573.6,7.8,6006
9674,Product_8,M,299,310.1,1593,35.4,5,0,0,0,0,0,0,56392.2,11.1,177
9208,Product_8,L,297.9,308.8,1386,48.6,75,0,0,0,0,0,0,67359.6,10.9,3645
6248,Product_9,L,300.8,310.2,1492,46.3,187,0,0,0,0,0,0,69079.6,9.4,8658.1
9507,Product_8,H,299.3,310.4,1548,41.6,25,0,0,0,0,0,0,64396.8,11.1,1040
5542,Product_3,L,302.4,311.8,1433,42.2,134,0,0,0,0,0,0,60472.6,9.4,5654.8
8406,Product_5,M,298.4,309.5,1484,41.7,119,0,0,0,0,0,0,61882.8,11.1,4962.3
4862,Product_7,L,303.5,312.3,1946,21.1,112,0,0,0,0,0,0,41060.6,8.8,2363.2
2340,Product_8,L,299.2,308.2,1466,41.3,8,0,0,0,0,0,0,60545.8,9,330.4
2809,Product_3,L,299.9,309.3,1471,41.8,109,0,0,0,0,0,0,61487.8,9.4,4556.2
589,Product_2,L,297.6,309.4,1628,33.4,229,0,0,0,0,0,0,54375.2,11.8,7648.6
7859,Product_1,L,300.5,311.9,1350,51.7,18,0,0,0,0,0,0,69795,11.4,930.6
3007,Product_3,L,300.4,309.7,1488,35.7,177,0,0,0,0,0,0,53121.6,9.3,6318.9
7011,Product_1,M,300.5,310.5,1469,42.9,14,0,0,0,0,0,0,63020.1,10,600.6
8245,Product_5,L,299,310.4,1512,38.8,109,0,0,0,0,0,0,58665.6,11.4,4229.2
3656,Product_10,L,302.1,311.4,1686,30.9,106,0,0,0,0,0,0,52097.4,9.3,3275.4
992,Product_2,M,296.1,307,1523,42,164,0,0,0,0,0,0,63966,10.9,6888
7780,Product_4,L,300.5,311.7,1811,26.8,47,0,0,0,0,0,0,48534.8,11.2,1259.6
8391,Product_6,M,298.8,309.8,1288,61.9,79,0,0,0,0,0,0,79727.2,11,4890.1
8761,Product_6,M,297.4,308.7,1392,46.4,174,0,0,0,0,0,0,64588.8,11.3,8073.6
1327,Product_6,L,298.9,310.2,1411,46.5,202,0,0,0,0,0,0,65611.5,11.3,9393
1025,Product_8,L,296.2,307.3,1711,29.9,42,0,0,0,0,0,0,51158.9,11.1,1255.8
576,Product_6,M,297.9,309.9,1410,55.4,188,0,0,0,0,0,0,78114,12,10415.2
2397,Product_2,M,299.1,308.5,1592,34.2,153,0,0,0,0,0,0,54446.4,9.4,5232.6
1301,Product_6,L,298.7,309.8,1322,57,140,0,0,0,0,0,0,75354,11.1,7980
1385,Product_5,L,298.9,310.3,1484,43.8,124,0,0,0,0,0,0,64999.2,11.4,5431.2
1679,Product_2,L,298,307.5,1644,32.8,215,0,0,0,0,0,0,53923.2,9.5,7052
8289,Product_8,M,298.8,310.6,1640,33.8,9,0,0,0,0,0,0,55432,11.8,304.2
9068,Product_6,L,297.1,308.2,1351,56.6,126,0,0,0,0,0,0,76466.6,11.1,7131.6
1710,Product_4,L,298.2,307.8,1749,26.1,66,0,0,0,0,0,0,45648.9,9.6,1722.6
4051,Product_1,L,301.8,310.8,1456,46.6,35,0,0,0,0,0,0,67849.6,9,1631
914,Product_2,L,295.5,306,1621,29.5,176,0,0,0,0,0,0,47819.5,10.5,5192
1068,Product_6,L,296.9,307.8,1466,45.7,153,0,0,0,0,0,0,66996.2,10.9,6992.1
3744,Product_7,L,302.5,311.4,1759,24.6,124,0,0,0,0,0,0,43271.4,8.9,3050.4
4316,Product_10,M,301.4,310,1651,29.8,44,0,0,0,0,0,0,49199.8,8.6,1311.2
1311,Product_6,L,298.9,310.2,1498,50.2,160,0,0,0,0,0,0,75199.6,11.3,8032
2454,Product_2,L,299,308.6,1648,30.8,98,0,0,0,0,0,0,50758.4,9.6,3018.4
8639,Product_8,L,297.6,308.5,1572,35.9,71,0,0,0,0,0,0,56434.8,10.9,2548.9
8532,Product_8,L,298.6,309.3,1449,46.5,26,0,0,0,0,0,0,67378.5,10.7,1209
319,Product_2,L,297.8,308.4,1512,39.9,181,0,0,0,0,0,0,60328.8,10.6,7221.9
4878,Product_3,M,303.7,312.4,1546,33.7,149,0,0,0,0,0,0,52100.2,8.7,5021.3
4333,Product_3,M,301.7,309.9,1452,41.5,86,0,0,0,0,0,0,60258,8.2,3569
1539,Product_4,L,298.4,309.1,1798,29.6,81,0,0,0,0,0,0,53220.8,10.7,2397.6
